"rank"|"name"|"box"|"date"
90|"Aladdin"|217.35|1992-11-11
91|"Alvin and the Chipmunks"|217.324|2007-12-14
92|"Saving Private Ryan"|216.335|1998-07-24
93|"Mission: Impossible 2"|215.41|2000-05-24
94|"Kung Fu Panda"|215.395|2008-06-06
95|"X2: X-Men United"|214.95|2003-05-02
96|"Austin Powers in Goldmember"|213.118|2002-07-26
97|"Back to The Future"|210.61|1985-07-03
98|"300"|210.593|2007-03-09
99|"Wedding Crashers"|209.218|2005-07-15
100|"Sherlock Holmes"|208.979|2009-12-25
101|"Charlie and the Chocolate Factory"|206.459|2005-07-15
102|"Ratatouille"|206.435|2007-06-29
103|"Austin Powers: The Spy Who Shagged Me"|205.445|1999-06-11
104|"Batman Begins"|205.344|2005-06-15
105|"Toy Story"|191.773|1995-11-22
106|"The Mummy Returns"|202.008|2001-05-04
107|"Armageddon"|201.578|1998-07-01
108|"Superman Returns"|200.12|2006-06-28
109|"Gone With the Wind"|198.655|1939-12-15
110|"Pearl Harbor"|198.543|2001-05-25
111|"Monsters Vs. Aliens"|198.332|2009-03-27
112|"Happy Feet"|198|2006-11-17
113|"Indiana Jones & the Last Crusade"|197.172|1989-05-24
114|"Ice Age: Dawn of the Dinosaurs"|196.443|2009-07-01
115|"Ice Age: The Meltdown"|195.331|2006-03-31
116|"Men In Black II"|194.391|2002-07-03
117|"Madagascar"|193.137|2005-05-27
118|"Twilight"|192.77|2008-11-21
119|"Gladiator"|187.684|2000-05-05
120|"The Day After Tomorrow"|186.741|2004-05-28
121|"Mr. and Mrs. Smith"|186.336|2005-06-10
122|"Snow White and the Seven Dwarfs"|184.925|1938-02-04
123|"Dances with Wolves"|184.925|1990-11-21
124|"Batman Forever"|184.031|1995-06-16
125|"The Fugitive"|183.753|1993-08-06
126|"Ocean's Eleven"|183.349|2001-12-07
127|"The Simpsons Movie"|183.122|2007-07-27
128|"What Women Want"|182.805|2000-12-15
129|"The Perfect Storm"|182.618|2000-06-30
130|"Liar Liar"|181.395|1997-03-21
131|"The Polar Express"|181.314|2004-11-10
132|"Jurassic Park III"|181.166|2001-07-18
133|"Mission: Impossible"|180.982|1996-05-22
134|"Planet of the Apes"|180.012|1968-04-03
135|"Madagascar: Escape 2 Africa"|179.983|2008-11-07
136|"Indiana Jones & the Temple of Doom"|179.87|1984-05-23
137|"X-Men Origins: Wolverine"|179.864|2009-05-01
138|"Hitch"|178.505|2005-02-11
139|"Pretty Woman"|178.406|1990-03-23
140|"Night at the Museum: Battle of the Smithsonian"|177.234|2009-05-22
141|"Tootsie"|177.2|1982-12-17
142|"Top Gun"|176.782|1986-05-16
143|"The Karate Kid"|176.56|1984-06-22
144|"There's Something About Mary"|176.484|1998-07-15
145|"Ice Age"|176.387|2002-03-15
146|"The Bourne Supremacy"|176.049|2004-07-23
147|"Crocodile Dundee"|174.635|1986-09-26
148|"Apollo 13"|173.756|1995-06-30
149|"Home Alone 2: Lost in New York"|173.6|1992-11-20
150|"Elf"|173.381|2003-11-07
151|"National Treasure"|173.016|2004-11-19
152|"Air Force One"|172.888|1997-07-25
153|"Rain Man"|172.825|1988-12-12
154|"The Matrix"|171.48|1999-03-31
155|"Beauty and the Beast"|171.301|1991-01-01
156|"Tarzan"|171.085|1999-06-18
157|"Chicago"|170.685|2003-01-24
158|"A Beautiful Mind"|169.349|2002-01-04
159|"Quantum of Solace"|168.368|2008-11-14
160|"Wild Hogs"|168.214|2007-03-02
161|"Three Men and a Baby"|167.781|1987-11-25
162|"Casino Royale"|167.365|2006-11-17
163|"Meet the Parents"|166.244|2000-10-06
164|"2012"|165.553|2009-11-13
165|"Hannibal"|165.092|2001-02-09
166|"Catch Me if You Can"|164.607|2002-12-25
167|"The Proposal"|163.9|2009-06-19
168|"Big Daddy"|163.48|1999-06-25
169|"Clash of the Titans"|163.192|2010-04-02
170|"Batman Returns"|162.832|1992-06-19
171|"The Pursuit of Happyness"|162.8|2006-12-15
172|"A Bug's Life"|162.793|1998-11-25
173|"The Waterboy"|161.487|1998-11-06
174|"Shark Tale"|161.412|2004-10-01
175|"Grown Ups"|160.978|2010-06-25
176|"Die Another Day"|160.7|2002-11-22
177|"The Sting"|159.6|1973-12-25
178|"The Sound of Music"|158.671|1965-03-02
179|"The Firm"|158.348|1993-06-30
180|"The Longest Yard"|158.115|2005-05-27
181|"X-Men"|157.3|2000-07-14
182|"Scary Movie"|156.997|2000-07-07
183|"Fatal Attraction"|156.646|1987-09-18
184|"What Lies Beneath"|155.37|2000-07-21
185|"The Mummy"|155.248|1999-05-07
186|"The Fast and the Furious"|155.022|2001-06-22
187|"Over The Hedge"|155.019|2006-05-19
188|"Fast & Furious"|154.875|2001-06-22
189|"Fantastic Four"|154.696|2005-07-08
190|"Dr. Seuss' Horton Hears a Who"|154.444|2008-03-14
191|"Who Framed Roger Rabbit?"|154.112|1998-06-21
192|"Beverly Hills Cop 2"|153.665|1987-05-20
193|"Jerry Maguire"|153.621|1996-12-13
194|"Scooby Doo"|153.294|2002-06-14
195|"Sex and the City: The Movie"|152.596|2008-05-30
196|"Runaway Bride"|152.15|1999-07-30
197|"Rambo: First Blood Part II"|150.415|1985-05-24
198|"Terminator 3: Rise of the Machines"|150.35|2003-07-02
199|"G.I. Joe: The Rise of Cobra"|150.168|2009-08-07
200|"Knocked Up"|148.734|2007-06-01
201|"Talladega Nights: The Ballad of Ricky Bobby"|148.213|2006-08-04
202|"Gremlins"|148.168|1984-06-08
203|"Gran Torino"|148.086|2009-01-09
204|"As Good As It Gets"|147.637|1995-12-25
205|"Lethal Weapon 2"|147.254|1989-07-07
206|"Paul Blart: Mall Cop"|146.336|2009-01-16
207|"True Lies"|146.282|1994-07-15
208|"Lilo & Stitch"|145.772|2002-06-21
209|"American Pie 2"|145.097|2001-08-10
210|"Taken"|145.001|2009-01-30
211|"101 Dalmatians"|144.88|1961-01-25
212|"I, Robot"|144.801|2004-07-16
213|"Lethal Weapon 3"|144.732|1992-05-15
214|"The Santa Clause"|144.631|1994-11-11
215|"Dr. Dolittle"|144.156|1998-06-26
216|"Mamma Mia!"|143.873|2008-07-18
217|"Juno"|143.493|2007-12-25
218|"Marley & Me"|143.151|2008-12-25
219|"xXx"|141.93|2002-08-09
220|"The Jungle Book"|141.843|1967-10-18
221|"Animal House"|141.6|1978-07-01
222|"Pocahontas"|141.579|1995-06-23
223|"A Few Good Men"|141.34|1992-12-11
224|"Slumdog Millionaire"|141.319|2009-01-23
225|"Rush Hour"|141.154|1998-09-18
226|"The Chronicles of Narnia: Prince Caspian"|140.694|2008-05-16
227|"The Blair Witch Project"|140.53|1999-07-16
228|"Deep Impact"|140.465|1998-05-08
229|"Look Who's Talking"|140.089|1989-10-13
230|"Rush Hour 3"|140.081|2007-08-10
231|"Stuart Little"|140.015|1999-12-17
232|"The Rocky Horror Picture Show"|139.876|1975-09-26
233|"Sister Act"|139.605|1992-05-29
234|"The Matrix Revolutions"|139.26|2003-11-05
235|"The Santa Clause 2"|139.227|2002-11-01
236|"Cheaper by the Dozen"|138.615|2003-12-25
237|"Bad Boys II"|138.5|2003-07-18
238|"Good Will Hunting"|138.339|1997-12-05
239|"Platoon"|137.963|1986-12-19
240|"Disney's a Christmas Carol"|137.85|2009-11-06
241|"Dinosaur"|137.748|2000-05-19
242|"Click"|137.34|2006-06-23
243|"The Green Mile"|136.801|1999-12-10
244|"Ransom"|136.385|1996-11-10
245|"Godzilla"|136.142|1998-05-20
246|"101 Dalmatians"|135.539|1996-11-27
247|"Chicken Little"|135.382|2005-11-04
248|"Teenage Mutant Ninja Turtles"|135.266|1990-03-30
249|"The Godfather"|134.966|1972-03-14
250|"Patch Adams"|134.9|1998-12-25
251|"Live Free or Die Hard"|134.527|2007-06-27
252|"Wanted"|134.392|2008-06-27
253|"Superman"|134.218|1978-12-15
254|"The Rock"|134.1|1996-06-07
255|"The Incredible Hulk"|133.844|2008-06-13
256|"Anger Management"|133.757|2003-04-11
257|"Mission: Impossible III"|133.501|2006-05-05
258|"Angels & Demons"|133.376|2009-05-15
259|"The Departed"|133.311|2006-10-06
260|"Troy"|133.259|2004-05-14
261|"Bringing Down The House"|132.541|2003-03-07
262|"Hulk"|132.176|2003-06-20
263|"Minority Report"|132.025|2002-06-21
264|"Fantastic Four: Rise of the Silver Surfer"|131.92|2007-06-15
265|"The Last Airbender"|131.567|2010-07-01
266|"Lara Croft: Tomb Raider"|131.145|2001-06-15
267|"Silence Of The Lambs"|130.727|1991-08-01
268|"Honey, I Shrunk the Kids"|130.724|1989-06-23
269|"The Flintstones"|130.513|1994-05-27
270|"Get Smart"|130.246|2008-06-30
271|"American Gangster"|130.128|2007-11-02
272|"American Beauty"|130.058|1999-09-15
273|"An Officer and a Gentleman"|129.796|1982-07-28
274|"Lethal Weapon 4"|129.735|1998-07-10
275|"The Nutty Professor"|128.769|1996-06-28
276|"The Ring"|128.581|2002-10-18
277|"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan"|128.506|2006-11-03
278|"Close Encounters of the Third Kind"|128.29|1977-11-16
279|"Robots"|128.196|2005-03-11
280|"Coming to America"|128.152|1988-06-29
281|"Crouching Tiger, Hidden Dragon"|128.068|2000-12-15
282|"Enchanted"|127.977|2007-11-21
283|"Rocky IV"|127.874|1985-11-27
284|"Sweet Home Alabama"|127.613|2002-09-27
285|"Shutter Island"|127.564|2010-02-19
286|"The Curious Case of Benjamin Button"|127.491|2008-12-25
287|"2Fast 2Furious"|127.084|2003-06-06
288|"The World Is Not Enough"|126.931|1999-11-19
289|"My Best Friend's Wedding"|126.805|1997-06-20
290|"Smokey and the Bandit"|126.737|1977-05-19
291|"Sleepless in Seattle"|126.671|1993-06-25
292|"Bee Movie"|126.597|2007-11-02
293|"The Truman Show"|126.467|1998-06-05
294|"Mr. Deeds"|126.293|2002-06-28
295|"Erin Brockovich"|125.549|2000-03-17
296|"Ocean's Twelve"|125.532|2004-12-10
297|"Dumb and Dumber"|125.464|1994-12-16
298|"Tomorrow Never Dies"|125.332|1997-12-19
299|"Charlie's Angels"|125.306|2000-11-03
300|"Terminator Salvation"|125.287|2009-05-21
301|"Harry Potter and the Deathly Hallows - Part 1"|125.12|2010-11-19
302|"Cloudy with a Chance of Meatballs"|124.87|2009-09-18
303|"The Devil Wears Prada"|124.74|2006-06-30
304|"Something's Gotta Give"|124.591|2003-12-12
305|"Traffic"|124.107|2001-01-05
306|"City Slickers"|124.034|1991-06-07
307|"The Birdcage"|123.987|1996-03-08
308|"Good Morning, Vietnam"|123.922|1987-12-23
309|"Nutty Professor II: The Klumps"|123.308|2000-07-28
310|"Rocky III"|122.823|1982-05-28
311|"Clear and Present Danger"|121.985|1994-08-03
312|"The Bodyguard"|121.946|1992-11-25
313|"Wayne's World"|121.697|1992-02-04
314|"The Bourne Identity"|121.662|2002-06-14
315|"Superbad"|121.463|2007-08-17
316|"Speed"|121.248|1994-06-10
317|"50 First Dates"|120.777|2004-02-13
318|"The Hunt for Red October"|120.71|1990-03-02
319|"Mulan"|120.57|1998-06-19
320|"Inglourious Basterds"|120.523|2009-08-21
321|"Seabiscuit"|120.147|2003-07-25
322|"Four Christmases"|120.136|2008-11-26
323|"Van Helsing"|120.073|2004-05-07
324|"The Mask"|119.92|1994-07-29
325|"I Now Pronounce You Chuck and Larry"|119.685|2007-07-20
326|"Hook"|119.655|1991-12-08
327|"Walk the Line"|119.518|2005-11-18
328|"Blazing Saddles"|119.5|1974-02-07
329|"Total Recall"|119.395|1990-06-01
330|"On Golden Pond"|119.285|1981-12-04
331|"G-Force"|119.251|2009-07-24
332|"The Other Guys"|119.22|2010-08-06
333|"Fahrenheit 9/11"|119.078|2004-06-25
334|"Hairspray"|118.823|2007-07-30
335|"The Break-Up"|118.703|2006-06-02
336|"Lemony Snicket's A Series of Unfortunate Events"|118.627|2004-12-17
337|"The Sum Of All Fears"|118.501|2002-05-31
338|"Back To The Future Part II"|118.5|1989-11-22
339|"Blades of Glory"|118.341|2007-03-30
340|"Basic Instinct"|117.727|1992-03-20
341|"Salt"|117.563|2010-07-23
342|"Big Momma's House"|117.559|2000-06-02
343|"Die Hard 2: Die Harder"|117.324|1990-07-04
344|"Rocky"|117.235|1976-11-21
345|"Ocean's Thirteen"|117.144|2007-06-08
346|"S.W.A.T."|116.75|2003-08-08
347|"Double Jeopardy"|116.735|1999-09-24
348|"8 Mile"|116.725|2002-11-08
349|"Ghost Rider"|116.4|2007-02-16
350|"Notting Hill"|116.006|1999-05-13
351|"The Towering Inferno"|116|1974-12-10
352|"You've Got Mail"|115.732|1998-12-18
353|"Remember the Titans"|115.649|2000-09-29
354|"District 9"|115.646|2009-08-14
355|"Jackass 3D"|115.204|2010-10-15
356|"The Karate Kid Part II"|115.104|1986-06-19
357|"American Graffiti"|115|1973-08-11
358|"Big"|114.969|1988-06-03
359|"Dodgeball: A True Underdog Story"|114.324|2004-06-18
360|"The Village"|114.196|2004-07-30
361|"Bolt"|114.054|2008-11-21
362|"The Addams Family"|113.502|1991-11-22
363|"The Patriot"|113.33|2000-06-28
364|"The Pacifier"|113.144|2005-03-04
365|"Dr. Dolittle 2"|112.951|2001-06-22
366|"It's Complicated"|112.703|2009-12-25
367|"Spy Kids"|112.692|2001-03-30
368|"Face/Off"|112.678|1997-06-27
369|"Ghostbusters 2"|112.495|1989-06-16
370|"One Flew Over the Cuckoo's Nest"|112|1975-11-19
371|"Twins"|111.936|1988-12-08
372|"Spy Kids 3D: Game Over"|111.761|2003-07-25
373|"Doctor Zhivago"|111.721|1965-12-22
374|"Enemy of the State"|111.544|1998-11-20
375|"The Little Mermaid"|111.5|1989-11-14
376|"The Last Samurai"|111.127|2003-12-05
377|"Fun with Dick and Jane"|110.503|2005-12-21
378|"Tropic Thunder"|110.417|2008-08-13
379|"Valentine's Day"|110.342|2010-02-12
380|"Freaky Friday"|110.222|2003-08-06
381|"The Grudge"|110.176|2004-10-22
382|"Scary Movie 3"|110.003|2003-10-24
383|"Bedtime Stories"|109.994|2008-12-25
384|"Star Trek IV: The Voyage Home"|109.713|1986-11-26
385|"MegaMind"|109.476|2010-11-05
386|"The 40 Year Old Virgin"|109.329|2005-08-19
387|"Crocodile Dundee II"|109.306|1988-05-25
388|"Couples Retreat"|109.176|2009-10-09
389|"Black Hawk Down"|108.639|2002-01-18
390|"Terms of Endearment"|108.423|1983-11-20
391|"Ace Ventura: When Nature Calls"|108.36|1995-11-10
392|"A Time to Kill"|108.285|1996-07-24
393|"The Princess Diaries"|108.245|2001-08-03
394|"Superman II"|108.186|1981-06-19
395|"Paranormal Activity"|107.902|2009-10-16
396|"Pulp Fiction"|107.9|1994-10-14
397|"Watchmen"|107.503|2009-03-06
398|"A League of Their Own"|107.459|1992-07-01
399|"Batman & Robin"|107.285|1997-06-20
400|"Miss Congeniality"|106.808|2002-12-22
401|"Analyze This"|106.694|1999-03-05
402|"Goldeneye"|106.636|1995-11-17
403|"Indecent Proposal"|106.614|1993-04-07
404|"Chicken Run"|106.604|2000-06-23
405|"Driving Miss Daisy"|106.593|1989-12-13
406|"Love Story"|106.397|1970-12-16
407|"Kramer vs. Kramer"|106.26|1979-12-17
408|"The Italian Job"|106.126|2003-05-30
409|"Every Which Way But Loose"|105.918|1978-12-20
410|"How to Lose A Guy In 10 Days"|105.808|2003-02-07
411|"Porky's"|105.492|1982-03-19
412|"The First Wive's Club"|105.306|1996-09-20
413|"Interview with the Vampire"|105.265|1994-11-11
414|"George of the Jungle"|105.265|1997-07-16
415|"Robin Hood"|105.22|2010-05-14
416|"Phenomenon"|104.632|1996-07-03
417|"The Graduate"|104.397|1967-12-21
418|"American Wedding"|104.354|2003-08-01
419|"Road To Perdition"|104.339|2002-07-12
420|"Daddy Day Care"|104.149|2003-05-09
421|"Dick Tracy"|103.738|1990-06-15
422|"Dreamgirls"|103.366|2006-12-15
423|"Nine to Five"|103.291|1980-12-19
424|"Scream"|103.002|1996-12-20
425|"Jaws 2"|102.922|1978-06-16
426|"Bambi"|102.797|1942-08-21
427|"The General's Daughter"|102.678|1999-06-18
428|"The Aviator"|102.609|2004-12-17
429|"Daredevil"|102.544|2003-02-14
430|"The Mummy: Tomb of the Dragon Emperor"|102.483|2008-08-01
431|"Butch Cassidy and the Sundance Kid"|102.309|1969-09-23
432|"Mary Poppins"|102.3|1964-08-27
433|"In the Line of Fire"|102.3|1993-07-09
434|"American Pie"|101.736|1999-07-09
435|"Journey to the Center of the Earth"|101.662|2008-07-11
436|"Gone in Sixty Seconds"|101.643|2000-06-09
437|"Maverick"|101.6|1994-05-20
438|"Sleeping with the Enemy"|101.58|1991-02-08
439|"Stir Crazy"|101.5|1980-12-12
440|"Scream 2"|101.363|1997-12-12
441|"Eraser"|101.228|1996-06-21
442|"The Prince of Egypt"|101.218|1998-12-18
443|"Unforgiven"|101.157|1992-08-07
444|"Eagle Eye"|101.112|2008-09-26
445|"Con Air"|101.087|1997-06-06
446|"Sleepy Hollow"|101.068|1999-11-19
447|"The Expendables"|101|2010-08-13
448|"Contact"|100.85|1997-07-11
449|"Charlie's Angels: Full Throttle"|100.785|2003-06-27
450|"The Pelican Brief"|100.768|1993-12-17
451|"Dr. Seuss' The Cat In The Hat"|100.75|2003-11-21
452|"Vanilla Sky"|100.594|2001-12-14
453|"Step Brothers"|100.54|2008-07-25
454|"The Rugrats Movie"|100.492|1998-11-20
455|"Airport"|100.489|1970-03-05
456|"Collateral"|100.44|2004-08-06
457|"Million Dollar Baby"|100.423|2004-12-15
458|"The Princess and the Frog"|100.352|2009-12-11
459|"Casper"|100.28|1995-05-26
460|"Shakespeare in Love"|100.241|1998-12-18
461|"Jumanji"|100.192|1995-12-15
462|"Evan Almighty"|100.192|2007-06-22
463|"Se7en"|100.125|1995-09-22
464|"The Hunchback of Notre Dame"|100.118|1996-06-21
465|"Parenthood"|100.05|1989-07-31
466|"You Don't Mess with the Zohan"|100.019|2008-06-06
467|"Die Hard: With a Vengeance"|100.012|1995-05-19
468|"Robin Hood: Prince of Thieves"|99.6|1991-06-14
469|"Hercules"|99.046|1997-06-27
470|"Heaven Can Wait"|98.8|1978-06-28
471|"Date Night"|98.711|2010-04-09
472|"Billy Jack"|98|1971-05-01
473|"Meet the Robinsons"|97.794|2007-03-30
474|"Yes Man"|97.68|2008-12-17
475|"Inspector Gadget"|97.36|1999-07-23
476|"Public Enemies"|97.033|2009-07-01
477|"Legally Blonde"|96.493|2001-07-13
478|"The Others"|96.471|2001-08-10
479|"Schindler's List"|96.067|1993-12-15
480|"Dead Poets Society"|95.86|1989-06-09
481|"Cold Mountain"|95.633|2003-12-25
482|"Arthur"|95.462|1981-07-17
483|"Norbit"|95.36|2007-02-09
484|"Michael"|95.345|1996-12-25
485|"Sex and the City 2"|95.329|2010-05-27
486|"Panic Room"|95.308|2002-03-29
487|"The Princess Diaries 2: Royal Engagement"|95.149|2004-08-11
488|"Unbreakable"|95|2000-11-22
489|"Flashdance"|94.9|1983-04-15
490|"The Book of Eli"|94.823|2010-01-15
491|"10,000 B.C."|94.771|2008-03-07
492|"Beverly Hills Chihuahua"|94.409|2008-10-03
493|"Saturday Night Fever"|94.213|1977-12-14
494|"The Color Purple"|94.175|1985-12-18
495|"Julie & Julia"|94.125|2009-08-07
496|"Maid In Manhattan"|93.932|2002-12-13
497|"Master and Commander: The Far Side Of The World"|93.926|2003-11-14
498|"He's Just Not That Into You"|93.924|2009-02-06
499|"The Mask of Zorro"|93.771|1998-07-24
500|"America's Sweethearts"|93.608|2001-07-20
501|"Lady and the Tramp"|93.6|1955-06-16
502|"The Bucket List"|93.41|2008-01-11
503|"Cats and Dogs"|93.375|2001-07-04
504|"Two Weeks Notice"|93.354|2002-12-20
505|"The Poseidon Adventure"|93.3|1972-12-12
506|"Red Dragon"|93.1|2002-10-04
507|"Flubber"|92.969|1997-11-26
508|"When Harry Met Sally..."|92.824|1989-07-21
509|"The Client"|92.115|1994-07-20
510|"Star Trek: First Contact"|92.001|1996-11-22
511|"Kindergarten Cop"|91.457|1990-12-21
512|"Crimson Tide"|91.4|1995-05-12
513|"Back to School"|91.258|1986-06-13
514|"The Haunting"|91.188|1999-07-23
515|"Save The Last Dance"|91.038|2001-01-12
516|"Stepmom"|91.03|1998-12-25
517|"The Karate Kid"|90.8|1984-06-22
518|"Scary Movie 4"|90.704|2006-04-14
519|"Prince of Persia: The Sands of Time"|90.702|2010-05-28
520|"Antz"|90.646|1998-10-02
521|"The Game Plan"|90.637|2007-09-28
522|"The Town"|90.627|2010-09-17
523|"Me, Myself & Irene"|90.567|2000-06-23
524|"High School Musical 3: Senior Year"|90.556|2008-10-24
525|"Tyler Perry's Madea Goes to Jail"|90.485|2009-02-20
526|"Space Cowboys"|90.454|2000-08-04
527|"The Scorpion King"|90.45|2002-04-19
528|"Space Jam"|90.443|1996-10-15
529|"Trading Places"|90.4|1983-06-08
530|"Mystic River"|90.135|2003-10-08
531|"Legally Blonde 2: Red, White, & Blonde"|89.884|2003-07-02
532|"Flightplan"|89.707|2005-09-23
533|"Father of the Bride"|89.326|1991-12-20
534|"The Emperor's New Groove"|89.303|2000-12-15
535|"The Social Network"|89.25|2010-10-01
536|"Scream 3"|89.138|2000-02-04
537|"The Trial of Billy Jack"|89|1974-11-13
538|"The Ugly Truth"|88.915|2009-07-24
539|"Failure to Launch"|88.785|2006-03-10
540|"Percy Jackson & the Olympians: Lightning Thief"|88.719|2010-02-12
541|"Inside Man"|88.513|2006-03-24
542|"Waterworld"|88.246|1995-07-28
543|"Starsky & Hutch"|88.2|2004-03-05
544|"The Hand That Rocks the Cradle"|88.037|1992-01-10
545|"Along Came Polly"|87.857|2004-01-16
546|"Back To The Future Part III"|87.728|1990-05-25
547|"Entrapment"|87.704|1999-04-30
548|"Peter Pan"|87.4|1953-02-05
549|"Pineapple Express"|87.341|2008-08-06
550|"Out of Africa"|87.1|1985-12-10
551|"Saw II"|87.025|2005-10-28
552|"The Naked Gun 2½: The Smell of Fear"|86.93|1991-06-28
553|"The War of the Roses"|86.889|1989-12-08
554|"Presumed Innocent"|86.303|1990-07-27
555|"Young Frankenstein"|86.3|1974-12-15
556|"Mean Girls"|86.049|2004-04-30
557|"Pokemon: The First Movie"|85.745|1999-11-10
558|"Spy Kids 2: The Island of Lost Dreams"|85.633|2002-08-09
559|"The SpongeBob SquarePants Movie"|85.417|2004-11-19
560|"Brother Bear"|85.329|2003-10-24
561|"Stripes"|85.297|1981-06-26
562|"Cinderella"|85|1950-02-15
563|"Dangerous Minds"|84.919|1995-08-11
564|"The Santa Clause 3: The Escape Clause"|84.5|2006-11-03
565|"Open Season"|84.38|2006-09-29
566|"Pinocchio"|84.254|1940-02-07
567|"Scooby Doo 2: Monsters Unleashed"|84.185|2004-03-26
568|"Anchorman: The Legend of Ron Burgundy"|84.137|2004-07-09
569|"Atlantis: The Lost Empire"|84.053|2001-06-08
570|"Cliffhanger"|84.049|1993-05-28
571|"The X-Files"|83.892|1998-06-19
572|"Up in the Air"|83.775|2009-12-23
573|"Steel Magnolias"|83.759|1989-11-05
574|"Red"|83.574|2010-10-15
